stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
70,K,Cretaceous,Lower Cretaceous,Berriasian,Ber,143.1,140.4,137.7,5.4,#95c562,#9fca70,#9ec979,86,65,36,14,15,9,22,28,44,197,148,162.335619081545,291,241,0.22680412371134,0.171821305841924,0.201593204752667,0.132896673466432,0.870828357797398,0.590868331439527,0.765467842139572,0.473085295783144,0.527632742082372,0.195060582571384,0.38,0.177215189873418,0.478035800943,0.195060582571384,0.72,0.274111675126904,Carnivore,FALSE,FALSE,FALSE
71,K,Cretaceous,Lower Cretaceous,Valanginian,Val,137.7,135.15,132.6,5.1,#95c562,#9fca70,#a8d182,65,69,27,3,11,14,60,43,39,186,208,182.517885237629,328,225,0.301829268292683,0.314024390243902,0.190353728491219,0.207975329841038,0.878550403891308,0.93826963859293,0.48464611818422,0.609765571620894,0.435318071257845,0.563094052311747,0.352941176470588,0.430555555555556,0.435318071257846,0.563094052311747,0.9,0.354838709677419,Carnivore,FALSE,FALSE,FALSE
72,K,Cretaceous,Lower Cretaceous,Hauterivian,Hau,132.6,129.55,126.5,6.1,#95c562,#9fca70,#b7d690,69,70,29,14,10,20,25,57,40,189,169,197.898163928989,311,229,0.209003215434084,0.263665594855305,0.191974988494597,0.26358452087272,0.866810674610785,0.881199412062885,0.469929310194013,0.775838896405059,0.275705881405065,0.460524885291192,0.240963855421687,0.369047619047619,0.275705881405065,0.460524885291192,0.674418604651163,0.248677248677249,Carnivore,FALSE,FALSE,FALSE
73,K,Cretaceous,Lower Cretaceous,Barremian,Bar,126.5,123.95,121.4,5.1,#95c562,#9fca70,#c2da9c,70,99,39,19,23,10,56,60,38,208,221,259.561492563897,362,246,0.259668508287293,0.320441988950276,0.167793456231045,0.253448900809539,0.584933595919713,0.931558204004943,0.354917165317741,0.537653918297855,0.269128664556033,0.376235469793226,0.235955056179775,0.313559322033898,0.269128664556033,0.376235469793226,0.672413793103448,0.322115384615385,Carnivore,FALSE,FALSE,FALSE
74,K,Cretaceous,Lower Cretaceous,Aptian,Apt,121.4,117.3,113.2,8.2,#95c562,#9fca70,#cfe1a7,99,168,58,15,21,6,78,97,45,223,326,324.038840318019,443,268,0.27765237020316,0.395033860045147,0.183815209050738,0.361149224333653,0.534676839588171,1.06352096885684,0.375046693996287,0.666639604440067,0.366750595927474,0.666191370571417,0.263157894736842,0.459016393442623,0.305381649551182,0.614366302706831,0.794520547945205,0.475336322869955,Carnivore,FALSE,FALSE,FALSE
75,K,Cretaceous,Lower Cretaceous,Albian,Alb,113.2,106.85,100.5,12.7,#95c562,#9fca70,#d9e8b1,168,231,104,18,10,6,183,150,74,246,544,503.976160628044,653,320,0.393568147013783,0.509954058192956,0.262989459861409,0.476082675322118,0.479573080261886,0.798026811380421,0.356194059101382,0.568010380778449,0.373716409793584,0.634650973878337,0.258064516129032,0.421686746987952,0.298492988555997,0.547639596888707,0.852459016393443,0.556910569105691,Carnivore,FALSE,FALSE,FALSE
76,K,Cretaceous,Upper Cretaceous,Cenomanian,Cen,100.5,97.2,93.9,6.6,#95c562,#b9d25d,#c6d86c,231,199,99,13,8,16,180,147,99,297,598,534.279627695604,723,396,0.385892116182573,0.452282157676349,0.287682072451781,0.402092423629525,0.847297860387204,0.698184974589902,0.614203978219826,0.538554828998018,0.645137961373585,0.569094531889966,0.459016393442623,0.400943396226415,0.614366302706831,0.512399188213421,0.883928571428571,0.579124579124579,Carnivore,FALSE,FALSE,FALSE
77,K,Cretaceous,Upper Cretaceous,Turonian,Tur,93.9,91.645,89.39,4.51,#95c562,#b9d25d,#d2dd77,199,125,80,21,9,74,59,74,65,379,353,351.957881378573,577,444,0.214904679376083,0.23050259965338,0.158288357349798,0.178355920400608,0.911278190050611,0.44628710262842,0.42577037426891,0.322908081467915,0.228841572428847,0.28312625591592,0.204545454545455,0.212328767123288,0.228841572428847,0.238674493345086,0.792079207920792,0.408970976253298,Carnivore,FALSE,FALSE,FALSE
78,K,Cretaceous,Upper Cretaceous,Coniacian,Con,89.39,87.545,85.7,3.69,#95c562,#b9d25d,#dce383,125,128,88,55,44,47,20,38,32,421,212,272.06572268234,511,453,0.101761252446184,0.113502935420744,0.0732592918006526,0.0864173763781637,0.350976922824095,0.374693449441411,0.121910353206763,0.141599567274033,-0.0540672212702758,-0.0216224640131657,0,0,0,0,0.615384615384615,0.28978622327791,Carnivore,FALSE,FALSE,FALSE
79,K,Cretaceous,Upper Cretaceous,Santonian,San,85.7,84.675,83.65,2.05,#95c562,#b9d25d,#e5e88f,128,245,101,26,87,5,37,73,39,420,348,345.578085032655,569,459,0.133567662565905,0.193321616871705,0.0887954987831312,0.160254462765276,0.236909747078358,0.886137693703468,0.200095773955641,0.400629877921767,0.154150679827258,0.236142805857849,0.0909090909090909,0.210332103321033,0.0953101798043249,0.236142805857849,0.795275590551181,0.473809523809524,Carnivore,FALSE,FALSE,FALSE
