stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
81,K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.17,69.105,66.04,6.13,#95c562,#b9d25d,#f5f1a7,1070,696,431,67,66,117,313,281,621,1527,2010,1828.29073020576,2742,2148,0.340627279358133,0.216630196936543,0.341232150410123,0.168916235733489,0.909305837352204,0.479241570230672,0.612054313884273,0.307502122767254,0.614526225944018,0.302203779786398,0.458223394898857,0.246395806028834,0.612901530217016,0.282887990487107,0.865461847389558,0.520628683693517,Both,TRUE,TRUE
82,Pg,Paleogene,Paleocene,Danian,Dan,66.04,63.85,61.66,4.38,#f8ac70,#f8b77d,#fbc27f,696,711,390,135,66,147,150,455,177,1631,1505,1594.88114440374,2413,1808,0.135515955242437,0.250725238292582,0.103027938331108,0.246055032939704,0.579202921210728,0.600525690679549,0.286566255634263,0.456033703758644,0.212371454332299,0.358703342200125,0.191335740072202,0.280141843971631,0.212371454332299,0.328701091896326,0.742857142857143,0.443286327406499,Both,FALSE,FALSE
83,Pg,Paleogene,Paleocene,Selandian-Thanetian,Se-Th,61.66,58.83,56,5.66,#f8ac70,#f8b77d,#fccb87,711,723,453,154,152,154,118,311,159,1927,1369,1444.079372491,2515,2086,0.11013916500994,0.170576540755467,0.0792839671463514,0.149618220457504,0.450780304320207,0.467517096675731,0.191156184663583,0.170265573207799,0.128096149070194,0.144505214976553,0.120231213872832,0.126567844925884,0.128096149070194,0.135324822631592,0.746293245469522,0.405293201868189,Both,FALSE,FALSE
84,Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,#f8ac70,#fac18a,#f7ba8e,723,898,506,150,158,149,470,490,125,2113,2001,2042.19655132991,3198,2238,0.186053783614759,0.300187617260788,0.0574738712558138,0.208555887378509,0.356872552871299,0.573633399014734,0.0975493449795869,0.28099673343827,0.0810932784210387,0.252678498878447,0.0778923253150057,0.223282442748092,0.0810932784210387,0.252678498878447,0.771341463414634,0.433506862281117,Both,FALSE,FALSE
85,Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,#f8ac70,#fac18a,#f9c39f,898,950,608,180,156,289,219,390,174,2429,1853,1890.58054651056,3212,2603,0.122353673723537,0.189601494396015,0.0691849759923929,0.14890256211194,0.389995186336033,0.44628710262842,0.0524730808519829,0.186662982971796,0.000928074312553811,0.179846745560886,0.000927643784786642,0.13716814159292,0.000928074312553811,0.147535440708539,0.771573604060914,0.440510498147386,Both,FALSE,FALSE
86,Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,#f8ac70,#fac18a,#fcceac,950,1045,680,273,265,125,147,279,206,2613,1753,1934.02922019182,3245,2819,0.108782742681048,0.131278890600924,0.0758832255935,0.101449317758043,0.334369186424434,0.429679366228759,0.14626726671498,0.170356158337047,0.12619938421823,0.0789052667926101,0.026982829108749,0.0758725341426404,0.0273535495815972,0.0789052667926103,0.713536201469045,0.42900880214313,Both,FALSE,FALSE
87,Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,#f8ac70,#fac18a,#fcd7ba,1045,918,575,119,161,180,244,356,399,2493,2292,2177.72665251387,3492,2892,0.184135166093929,0.171821305841924,0.148461499755097,0.13348125097435,0.597402123601561,0.46782734982314,0.236803264366211,0.13030524433909,0.286537252635848,0.192985739292767,0.24914089347079,0.175506268081003,0.286537252635848,0.192985739292767,0.828530259365994,0.518652226233454,Both,FALSE,FALSE
88,Pg,Paleogene,Oligocene,Rupelian,Rup,33.9,30.595,27.29,6.61,#f8ac70,#fdcb98,#fedfb3,918,838,585,254,120,388,150,285,184,2665,1679,1895.63150588393,3284,2849,0.101705237515225,0.132460414129111,0.0667639978979634,0.101601112733921,0.450585543388634,0.359406253250227,0.0662715977816267,0.171304333540772,-0.0458604745739536,0.129875081421412,0,0.054029304029304,0,0.0555436871852119,0.697258641239571,0.397748592870544,Both,FALSE,FALSE
89,Pg,Paleogene,Oligocene,Chattian,Cht,27.29,25.165,23.04,4.25,#f8ac70,#fdcb98,#ffeac3,838,1080,653,306,393,172,151,251,148,2802,1689,1952.68505671699,3352,2950,0.089200477326969,0.119928400954654,0.0514717224369132,0.0857912658379255,0.249440971205652,0.503139190841834,0.0669242734217132,0.142540331606485,0.0114286958236228,0.0248369231469391,0.0113636363636364,0.0245310245310245,0.0114286958236228,0.0248369231469391,0.680917622523462,0.406495360456817,Both,FALSE,FALSE
90,Ng,Neogene,Miocene,Lower Miocene,Lmi,23.04,19.515,15.99,7.05,#fede1a,#ffed02,#fff14a,1080,1646,854,171,314,146,296,518,265,2788,2680,2532.1994843908,3867,3053,0.145073700543057,0.210499094905612,0.0908002208544634,0.170414506500555,0.234785126329696,0.656172187448445,0.0230145651877558,0.271858241841438,0.0660851468691939,0.305263722704999,0.0431654676258993,0.263070996147496,0.0441248049089379,0.305263722704999,0.833170731707317,0.574246771879483,Both,FALSE,FALSE
