stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
1,E,Ediacaran,Upper Ediacaran,Avalon Assemblage,Ava,580,570,560,20,#fddd88,#fddd88,#fcd589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE
2,E,Ediacaran,Upper Ediacaran,White Sea Assemblage,Whs,560,555,550,10,#fddd88,#fddd88,#fdd587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE
3,E,Ediacaran,Upper Ediacaran,Nama Assemblage,Nam,550,544.4,538.8,11.2,#fddd88,#fddd88,#fed583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE
4,Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,#94ac72,#9db989,#a9be93,NA,93,NA,NA,NA,NA,51,110,NA,NA,161,NA,161,NA,0.316770186335404,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE
5,Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,#94ac72,#9db989,#b6c29e,93,120,52,15,NA,1,47,79,38,72,219,222.132805238121,236,110,0.360169491525424,0.533898305084746,0.423814246776361,0.740613717798869,0.581355774571829,0.836248024200619,0.545637691969749,NA,0.462623521948113,NA,0.268518518518519,NA,0.312683374657198,NA,0.776119402985075,0.763888888888889,Both,FALSE,FALSE
6,Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,#94ac72,#a9c595,#b5ca9f,120,204,55,2,4,10,355,173,66,85,663,540.907274119068,679,151,0.620029455081001,0.777614138438881,0.574628580324608,1.1103083284313,0.780158557549575,1.31078680861175,0.441556394670537,1.05733790780221,0.59932842534229,1.21700230461627,0.450819672131148,0.699029126213592,0.59932842534229,1.20074178374449,0.964912280701754,0.811764705882353,Both,FALSE,FALSE
7,Cm,Cambrian,Series 2,Stage 4,St4,514.5,511.75,509,5.5,#94ac72,#a9c595,#c0ceaa,204,171,67,27,4,11,149,116,127,131,471,520.200883330083,523,258,0.527724665391969,0.506692160611855,0.677762261720466,0.634191013426826,1.11342737445325,0.936970937111694,0.897718801626559,0.901252854509615,0.78845736036427,0.703299552023963,0.480519480519481,0.419191919191919,0.654925967739748,0.543334902331285,0.712765957446808,0.603053435114504,Both,FALSE,FALSE
8,Cm,Cambrian,Maolingian,Wulian,Wul,509,506.75,504.5,4.5,#94ac72,#b6d2a2,#c1d6af,171,148,54,13,12,7,225,112,125,122,539,526.461886116528,584,247,0.599315068493151,0.577054794520548,0.705367291894721,0.651300070624445,1.15267950993839,1.00822822719984,0.806933636531843,0.669626064320803,0.910870664404816,0.711956512517442,0.559782608695652,0.496894409937888,0.820486602936547,0.686955210312024,0.805970149253731,0.631147540983607,Both,FALSE,FALSE
9,Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,#94ac72,#b6d2a2,#cddbb8,148,104,46,19,6,9,75,58,94,140,297,330.376464707938,367,234,0.460490463215259,0.362397820163488,0.513678692748397,0.346624608085231,1.16857087727502,0.815749502652278,0.971860583028966,0.600040929825586,0.813928719212585,0.549504478331102,0.479041916167665,0.32520325203252,0.652085693762171,0.39334374757582,0.707692307692308,0.5,Both,FALSE,FALSE
10,Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,#94ac72,#b6d2a2,#d6e1c1,104,79,23,5,6,9,118,87,85,113,335,321.049597405901,403,198,0.503722084367246,0.508684863523573,0.560879211982195,0.570929547835696,1.50889668321222,1.23395363653787,0.972095573042972,0.88820776313133,1.08042996958492,0.904456274227152,0.660550458715596,0.595238095238095,1.08042996958492,0.904456274227152,0.821428571428571,0.398230088495575,Both,FALSE,FALSE
11,Cm,Cambrian,Furongian,Paibian,Pai,497,495.6,494.2,2.8,#94ac72,#c2ddb0,#d8e8c4,79,100,38,27,6,18,45,75,41,159,210,282.778366921733,320,200,0.26875,0.375,0.229413164327805,0.38641691313747,0.731861692740636,0.967584026261706,0.22676674368363,0.770873732015651,0.244598486315469,0.581507209417276,0.216981132075472,0.299212598425197,0.244598486315469,0.355550716726452,0.584615384615385,0.308176100628931,Both,FALSE,FALSE
12,Cm,Cambrian,Furongian,Jiangshanian,Jia,494.2,492.6,491,3.2,#94ac72,#c2ddb0,#e4efcf,100,116,35,23,31,6,96,73,70,164,303,395.275325527444,403,234,0.411910669975186,0.419354838709677,0.355454687533503,0.368193713310933,1.04982212449868,1.19824212961695,0.789864600061752,0.6614410194477,0.653301272012746,0.445837563398552,0.373983739837398,0.323741007194245,0.468378933518734,0.391179150860688,0.603448275862069,0.390243902439024,Both,FALSE,FALSE
13,Cm,Cambrian,Furongian,Stages 10,St10,491,488.925,486.85,4.15,#94ac72,#c2ddb0,#edf2db,116,182,64,19,10,3,83,105,73,164,346,353.241194331292,425,237,0.367058823529412,0.442352941176471,0.368193713310933,0.494844951777641,0.594707107746693,1.04512360371712,0.530168586609122,0.540028654660118,0.450927482184922,0.77070541490582,0.244444444444444,0.472636815920398,0.280301965154158,0.639865813947009,0.771084337349398,0.518292682926829,Both,FALSE,FALSE
14,O,Ordovician,Lower Ordovician,Tremadocian,Tre,486.85,481.965,477.08,9.77,#009881,#00a180,#0dac98,182,342,60,4,3,5,228,391,132,137,843,707.869867133249,888,269,0.405405405405405,0.697072072072072,0.674730453773714,1.34911535787814,1.10966212485469,1.7404661748405,0.898885229177697,1.48050865040358,0.991640169115942,1.64174615566676,0.623655913978495,0.803468208092486,0.977251431663842,1.62693106988162,0.9375,0.671532846715328,Both,FALSE,FALSE
15,O,Ordovician,Lower Ordovician,Floian,Flo,477.08,474.17,471.26,5.82,#009881,#00a180,#0eb1a0,342,325,179,42,3,95,171,244,120,408,767,745.472683155702,943,528,0.308589607635207,0.440084835630965,0.2578291093021,0.468777387522491,0.64742493122185,0.596439376488982,0.277326966950977,0.531900855351411,0.194900339000815,0.49371579619953,0.177083333333333,0.288828337874659,0.194900339000815,0.340841440731877,0.809954751131222,0.568627450980392,Both,FALSE,FALSE
